feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
SET,1.75E-09,0.039491705,0.987,0.995,5.88E-05,0.039491705
PSMC3,7.36E-40,0.039637041,0.744,0.806,2.48E-35,0.039637041
TMEM97,1.66E-55,0.039712474,0.551,0.624,5.59E-51,0.039712474
IMP3,1.73E-70,0.03974737,0.553,0.635,5.83E-66,0.03974737
GTPBP4,6.00E-62,0.039988907,0.56,0.637,2.02E-57,0.039988907
PCM1,9.03E-64,0.040031508,0.602,0.681,3.04E-59,0.040031508
HSPBP1,3.37E-51,0.040216104,0.235,0.259,1.13E-46,0.040216104
PSAT1,8.47E-23,0.040342762,0.168,0.174,2.85E-18,0.040342762
BRMS1,2.73E-66,0.040579136,0.383,0.438,9.19E-62,0.040579136
MRPS21,7.39E-28,0.040648703,0.899,0.939,2.49E-23,0.040648703
EXD3,7.74E-25,0.040755699,0.102,0.102,2.61E-20,0.040755699
SYNCRIP,1.58E-45,0.040763841,0.77,0.838,5.34E-41,0.040763841
MT-ND1,3.88E-10,0.040821953,0.999,1,1.31E-05,0.040821953
SNF8,3.29E-61,0.040840163,0.715,0.793,1.11E-56,0.040840163
ENDOG,6.98E-65,0.040922423,0.388,0.439,2.35E-60,0.040922423
SRRM1,8.02E-20,0.040951587,0.912,0.944,2.70E-15,0.040951587
SEC61A1,1.06E-72,0.040959902,0.333,0.383,3.57E-68,0.040959902
MYO1F,1.15E-53,0.041152493,0.24,0.266,3.86E-49,0.041152493
MRPS12,1.26E-48,0.041178757,0.759,0.826,4.26E-44,0.041178757
EEF2,0.000154494,0.041208105,0.998,0.998,1,0.041208105
PSMD3,2.96E-77,0.041274236,0.578,0.66,9.99E-73,0.041274236
YARS,1.10E-69,0.041348444,0.514,0.586,3.72E-65,0.041348444
PUM3,8.84E-65,0.041469599,0.505,0.575,2.98E-60,0.041469599
GAPDH,4.62E-21,0.041575059,1,1,1.56E-16,0.041575059
RPL35,8.51E-22,0.041673926,1,1,2.87E-17,0.041673926
SSR1,2.07E-68,0.041678435,0.435,0.495,6.97E-64,0.041678435
UBL5,8.24E-13,0.041788564,0.966,0.984,2.78E-08,0.041788564
SHMT2,7.16E-68,0.041855593,0.449,0.511,2.41E-63,0.041855593
